Date,AvgPrice
2022-01-21,4439.79492
2022-01-20,4527.53503
2022-01-19,4565.63489
2022-01-18,4602.57263
2022-01-14,4645.18005
2022-01-13,4696.75244
2022-01-12,4727.62
2022-01-11,4683.65247
2022-01-10,4645.22253
2022-01-07,4686.34509
2022-01-06,4696.42737
2022-01-05,4746.42761
2022-01-04,4797.73499
2022-01-03,4782.37756
2021-12-31,4773.49255
2021-12-30,4789.30505
2021-12-29,4790.96008
2021-12-28,4792.2251
2021-12-27,4762.66516
2021-12-23,4718.61255
2021-12-22,4672.52991
2021-12-21,4619.62256
2021-12-20,4568.72998
2021-12-17,4635.01514
2021-12-16,4692.92004
2021-12-15,4667.53259
2021-12-14,4636.01758
2021-12-13,4689.29248
2021-12-10,4695.86755
2021-12-09,4679.92249
2021-12-08,4692.91248
2021-12-07,4661.18262
2021-12-06,4573.28748
2021-12-03,4557.76758
2021-12-02,4545.505
2021-12-01,4569.76746
2021-11-30,4603.3175
2021-11-29,4645.5575
2021-11-26,4627.32751
2021-11-24,4685
2021-11-23,4680.30762
2021-11-22,4705.23499
2021-11-19,4704.59253
2021-11-18,4696.70996
2021-11-17,4694.02002
2021-11-16,4693.67249
2021-11-15,4685.59485
2021-11-12,4669.33264
2021-11-11,4655.38
2021-11-10,4658.16992
2021-11-09,4692.97498
2021-11-08,4703.12256
2021-11-05,4699.15234
2021-11-04,4672.14502
2021-11-03,4643.96741
2021-11-02,4623.11987
2021-11-01,4609.92249
2021-10-29,4588.47998
2021-10-28,4579.91235
2021-10-27,4567.03259
2021-10-26,4580.29492
2021-10-25,4557.53748
2021-10-22,4543.67249
2021-10-21,4540.08752
2021-10-20,4531.46997
2021-10-19,4508.44495
2021-10-18,4471.6001
2021-10-15,4460.64246
2021-10-14,4412.87244
2021-10-13,4356.1499
2021-10-12,4358.98499
2021-10-11,4380.7749
2021-10-08,4399.02246
2021-10-07,4399.29749
2021-10-06,4334.79492
2021-10-05,4333.67261
2021-10-04,4320.93738
2021-10-01,4334.47754
2021-09-30,4341.75
2021-09-29,4365.63
2021-09-28,4384.51001
2021-09-27,4444.67993
2021-09-24,4446.72754
2021-09-23,4431.96997
2021-09-22,4386.81262
2021-09-21,4367.86755
2021-09-20,4367.38513
2021-09-17,4450.50256
2021-09-16,4470.12744
2021-09-15,4463.35767
2021-09-14,4460.88
2021-09-13,4470.55762
2021-09-10,4485.90759
2021-09-09,4507.06738
2021-09-08,4511.97498
2021-09-07,4525.94739
2021-09-03,4532.65002
2021-09-02,4535.48511
2021-09-01,4528.00488
2021-08-31,4524.90503
2021-08-30,4523.41736
2021-08-27,4492.7251
2021-08-26,4482.16003
2021-08-25,4493.50256
2021-08-24,4486.42993
2021-08-23,4467.49744
2021-08-20,4425.84497
2021-08-19,4393.6449
2021-08-18,4423.27991
2021-08-17,4447.5376
2021-08-16,4464.81995
2021-08-13,4465.50745
2021-08-12,4451.16003
2021-08-11,4442.61255
2021-08-10,4436.94495
2021-08-09,4433.56262
2021-08-06,4433.86987
2021-08-05,4419.1449
2021-08-04,4408.75256
2021-08-03,4403.17004
2021-08-02,4400.25256
2021-07-30,4398.06995
2021-07-29,4414.07495
2021-07-28,4401.51758
2021-07-27,4401.68237
2021-07-26,4415.01501
2021-07-23,4397.34265
2021-07-22,4362.17004
2021-07-21,4345.16248
2021-07-20,4296.76489
2021-07-19,4271.10498
2021-07-16,4348.05249
2021-07-15,4359.6925
2021-07-14,4377.61243
2021-07-13,4377.39246
2021-07-12,4376.9375
2021-07-09,4349.97742
2021-07-08,4315.53491
2021-07-07,4350.20239
2021-07-06,4342.70752
2021-07-02,4340.24255
2021-07-01,4310.51501
2021-06-30,4294.63501
2021-06-29,4293.14246
2021-06-28,4285.57996
2021-06-25,4278.10767
2021-06-24,4262.92761
2021-06-23,4247.28503
2021-06-22,4236.03992
2021-06-21,4199.45752
2021-06-18,4185.10242
2021-06-17,4217.64246
2021-06-16,4231.72766
2021-06-15,4249.34497
2021-06-14,4248.27991
2021-06-11,4242.74243
2021-06-10,4234.45508
2021-06-09,4227.09253
2021-06-08,4226.55505
2021-06-07,4225.96497
2021-06-04,4218.85999
2021-06-03,4189.15015
2021-06-02,4207.64502
2021-06-01,4212.5675
2021-05-28,4209.20239
2021-05-27,4203.49487
2021-05-26,4193.57495
2021-05-25,4197.50244
2021-05-24,4186.72253
2021-05-21,4166.22754
2021-05-20,4143.96509
2021-05-19,4098.11761
2021-05-18,4147.22754
2021-05-17,4161.95496
2021-05-14,4154.03503
2021-05-13,4098.51501
2021-05-12,4096.29993
2021-05-11,4144.00244
2021-05-10,4210.31006
2021-05-07,4220.65503
2021-05-06,4180.19763
2021-05-05,4173.32751
2021-05-04,4162.83252
2021-05-03,4195.51501
2021-04-30,4188.05505
2021-04-29,4203.30005
2021-04-28,4187.90747
2021-04-27,4186.13513
2021-04-26,4187.29993
2021-04-23,4162.97485
2021-04-22,4152.17493
2021-04-21,4150.80249
2021-04-20,4142.92004
2021-04-19,4168.58496
2021-04-16,4180.4176
2021-04-15,4155.85742
2021-04-14,4134.70007
2021-04-13,4136.03003
2021-04-12,4124.81995
2021-04-09,4112.47491
2021-04-08,4091.96246
2021-04-07,4076.41998
2021-04-06,4075.96997
2021-04-05,4057.55243
2021-04-01,4006.51501
2021-03-31,3975.38245
2021-03-30,3958.56256
2021-03-29,3966.37006
2021-03-26,3946.74255
2021-03-25,3890.47504
2021-03-24,3910.05499
2021-03-23,3924.70502
2021-03-22,3931.63501
2021-03-19,3910.77753
2021-03-18,3937.36005
2021-03-17,3960.82507
2021-03-16,3967.69501
2021-03-15,3951.38
2021-03-12,3932.01501
2021-03-11,3932.67255
2021-03-10,3898.47003
2021-03-09,3870.76495
2021-03-08,3841.51251
2021-03-05,3804.34998
2021-03-04,3788.5025
2021-03-03,3844.26001
2021-03-02,3887.22748
2021-03-01,3875.33502
2021-02-26,3825.35748
2021-02-25,3871.05005
2021-02-24,3896.84747
2021-02-23,3860.00256
2021-02-22,3884.91998
2021-02-19,3915.33746
2021-02-18,3909.21002
2021-02-17,3920.96753
2021-02-16,3936.62006
2021-02-12,3922.3725
2021-02-11,3912.28992
2021-02-10,3911.77496
2021-02-09,3910.67749
2021-02-08,3904.13507
2021-02-05,3883.65503
2021-02-04,3854.36993
2021-02-03,3833.65747
2021-02-02,3813.27008
2021-02-01,3753.74255
2021-01-29,3741.11505
2021-01-28,3782.34497
2021-01-27,3789.22754
2021-01-26,3857.815
2021-01-25,3840.85748
2021-01-22,3842.10748
